cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,72.95596213553338,-56.5383687186456,0.0,0.0,0.0,0.0,0,1
blue,74.7813239141743,-58.890914045579244,0.0,0.0,0.0,0.0,0,1
blue,77.0037177252588,-60.87048555178257,0.0,0.0,0.0,0.0,0,1
blue,79.4982343246501,-62.5018979501454,0.0,0.0,0.0,0.0,0,1
blue,82.15279734128315,-63.861149355125924,0.0,0.0,0.0,0.0,0,1
blue,84.86108708049788,-65.1109536569552,0.0,0.0,0.0,0.0,0,1
blue,87.57239328464313,-66.35433426238117,0.0,0.0,0.0,0.0,0,1
blue,90.24219388121534,-67.68393298372435,0.0,0.0,0.0,0.0,0,1
blue,92.82045551025308,-69.18283358949634,0.0,0.0,0.0,0.0,0,1
blue,95.30889841072144,-70.82632692789142,0.0,0.0,0.0,0.0,0,1
blue,97.68558503881351,-72.62738596834791,0.0,0.0,0.0,0.0,0,1
blue,99.93455291078756,-74.58562726874763,0.0,0.0,0.0,0.0,0,1
blue,102.05259135940749,-76.68487117327781,0.0,0.0,0.0,0.0,0,1
blue,103.98751715219024,-78.95377049957256,0.0,0.0,0.0,0.0,0,1
blue,105.7460538842495,-81.36160255246071,0.0,0.0,0.0,0.0,0,1
blue,107.28178448654278,-83.916769700873,0.0,0.0,0.0,0.0,0,1
blue,108.56345215869318,-86.60835077181815,0.0,0.0,0.0,0.0,0,1
blue,109.58328355785886,-89.40961736186186,0.0,0.0,0.0,0.0,0,1
blue,110.26186312330297,-92.31229432836354,0.0,0.0,0.0,0.0,0,1
blue,110.65814369196377,-95.26707515429861,0.0,0.0,0.0,0.0,0,1
blue,111.12996145842722,-98.2063798080701,0.0,0.0,0.0,0.0,0,1
blue,112.58061359799352,-100.75285587071953,0.0,0.0,0.0,0.0,0,1
blue,114.89976233884522,-102.61652528667456,0.0,0.0,0.0,0.0,0,1
blue,117.41258572607647,-104.22339273744113,0.0,0.0,0.0,0.0,0,1
blue,119.83210352436708,-105.96218991940793,0.0,0.0,0.0,0.0,0,1
blue,121.8416905676414,-108.14813725694971,0.0,0.0,0.0,0.0,0,1
blue,122.62476481109451,-110.98762523104813,0.0,0.0,0.0,0.0,0,1
blue,121.99719624998119,-113.88259436321663,0.0,0.0,0.0,0.0,0,1
blue,120.5239520889026,-116.45635477512504,0.0,0.0,0.0,0.0,0,1
