# x,y,right_width,left_width
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.307631653777264182e-16,2.270379970304549300e+00,1.500000000000000000e+00,1.500000000000000000e+00
1.357424322223336859e-03,4.568134382797627069e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.686533685187190684e-02,6.831980932458915134e+00,1.500000000000000000e+00,1.500000000000000000e+00
1.793168014739646154e-01,9.000637314268193023e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.415048820737133006e-01,1.101282122320503909e+01,1.500000000000000000e+00,1.500000000000000000e+00
8.762226425361842042e-01,1.280725035424917557e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.526263146746582811e+00,1.432264240238030517e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.434419458590037166e+00,1.549771506257802223e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.638718356940233711e+00,1.627877388078582399e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.125867743555660994e+00,1.669382325021285851e+01,1.500000000000000000e+00,1.500000000000000000e+00
6.851310210730076733e+00,1.682064144623960544e+01,1.500000000000000000e+00,1.500000000000000000e+00
8.770044164812615506e+00,1.673771388130169768e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.083706801215248028e+01,1.652352596783468641e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.300738015909878875e+01,1.625656311827425782e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.523597901200077054e+01,1.601531074505595953e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.747786297720753623e+01,1.587825426061543688e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.968803046106833321e+01,1.592387907738824637e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.182199738841973513e+01,1.622837156689271865e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.385653397595011782e+01,1.677349734502224621e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.579669615337723343e+01,1.741536465850161264e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.764949975957202355e+01,1.800137499005306907e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.942196063340528056e+01,1.837892982239908335e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.112092171656470541e+01,1.840035451939834488e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.274977052494907781e+01,1.801638036188414560e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.430870607168251496e+01,1.726854293629891757e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.579780796549412969e+01,1.620177830696671251e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.721715581511309523e+01,1.486102253821163721e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.856682922926857771e+01,1.329121169435769190e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.984690781668972193e+01,1.153728183972894961e+01,1.500000000000000000e+00,1.500000000000000000e+00
4.105747118610576507e+01,9.644169038649394565e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.219859894624580221e+01,7.656809355443197518e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.327037070583904921e+01,5.620138854434295617e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.427286607361466508e+01,3.579093599946781890e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.520616465830177333e+01,1.578609656304728048e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.607078004489963519e+01,-3.367150813269392251e-01,1.500000000000000000e+00,1.500000000000000000e+00
4.689766400446649897e+01,-2.146001193872011825e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.776766786678575727e+01,-3.867252705839446580e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.876568343737303479e+01,-5.521996476998778824e+00,1.500000000000000000e+00,1.500000000000000000e+00
4.993670459191069710e+01,-7.126138368118764888e+00,1.500000000000000000e+00,1.500000000000000000e+00
5.126101072045860008e+01,-8.686466973469929798e+00,1.500000000000000000e+00,1.500000000000000000e+00
5.271296453514175795e+01,-1.020893731924304326e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.426692874808509970e+01,-1.169950443162889719e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.589726607141359693e+01,-1.316412333681818048e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.757833921725219284e+01,-1.460874906100161574e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.928451089772585902e+01,-1.603933663037001978e+01,1.500000000000000000e+00,1.500000000000000000e+00
6.099014382495956710e+01,-1.746184107111408323e+01,1.500000000000000000e+00,1.500000000000000000e+00
