# x,y,right_width,left_width
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.586691242637206976e-16,1.621245660056712445e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.332444643913125934e-02,3.302331042288081164e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.874600853060075775e-02,5.042761629398690992e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.503735548765040536e-02,6.842042904093081468e+00,1.500000000000000000e+00,1.500000000000000000e+00
-2.097216384782962101e-02,8.699679582394292510e+00,1.500000000000000000e+00,1.500000000000000000e+00
2.235015959818383718e-02,1.061340625093182943e+01,1.500000000000000000e+00,1.500000000000000000e+00
9.654023779338542777e-02,1.257540904950671568e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.017841523901595935e-01,1.457678988968352130e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.382679850408115141e-01,1.660865068302673819e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.061778173977188322e-01,1.866209334110093820e+01,1.500000000000000000e+00,1.500000000000000000e+00
7.056997311132126027e-01,2.072821977547063810e+01,1.500000000000000000e+00,1.500000000000000000e+00
9.370198078396511088e-01,2.279813189770038306e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.200324129229387804e+00,2.486293161935470408e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.495798776934756713e+00,2.691372085199815345e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.823629832608110179e+00,2.894160150719525149e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.184003377901807763e+00,3.093767549651055759e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.577105494468187707e+00,3.289304473150858144e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.003122263959595806e+00,3.479881112375387886e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.462239768028386955e+00,3.664607658481098440e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.954644088326902729e+00,3.842594302624441127e+01,1.500000000000000000e+00,1.500000000000000000e+00
4.480521306507503354e+00,4.012951235961874374e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.040057504222533069e+00,4.174788649649848082e+01,1.500000000000000000e+00,1.500000000000000000e+00
5.633438763124326343e+00,4.327216734844817125e+01,1.500000000000000000e+00,1.500000000000000000e+00
6.260851164865249174e+00,4.469345682703235667e+01,1.500000000000000000e+00,1.500000000000000000e+00
6.922480791097631148e+00,4.600285684381556450e+01,1.500000000000000000e+00,1.500000000000000000e+00
7.618513723473832933e+00,4.719146931036232928e+01,1.500000000000000000e+00,1.500000000000000000e+00
8.349136043646211647e+00,4.825039613823720686e+01,1.500000000000000000e+00,1.500000000000000000e+00
9.114533833267087104e+00,4.917073923900471044e+01,1.500000000000000000e+00,1.500000000000000000e+00
9.914893173988838626e+00,4.994360052422939589e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.075040014746379313e+01,5.056008190547579062e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.162124083534431840e+01,5.101128529430844338e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.252760131928274667e+01,5.128831260229188160e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.346966768093142264e+01,5.138226574099063981e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.444762600194271940e+01,5.128424662196925965e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.546166236396896032e+01,5.098535715679228275e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.651196284866249187e+01,5.047669925702422233e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.759781782092452573e+01,4.974986735824260364e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.867737618851174375e+01,4.881907817650139947e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.965136830599219664e+01,4.773012092686020935e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.041627811398553760e+01,4.653112485051489244e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.089946652495045498e+01,4.526167830551815996e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.112219841770035700e+01,4.393539486173762043e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.112352473349655213e+01,4.256096828402446874e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.094249641360033465e+01,4.114709233722996373e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.061816439927298106e+01,3.970246078620530739e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.018957963177580339e+01,3.823576739580175143e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.969579305237008882e+01,3.675570593087050497e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.917585560231712449e+01,3.527097015626279131e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.866881822287820825e+01,3.379025383682984796e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.821373185531464145e+01,3.232225073742290533e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.784964744088770772e+01,3.087565462289317608e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.761561592085870487e+01,2.945915925809189062e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.755068823648892717e+01,2.808145840787027581e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.769391532903967246e+01,2.675124583707956205e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.808291114032713764e+01,2.547690741299611972e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.870803388154478952e+01,2.425670379031747359e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.950281647405495633e+01,2.307671999695878995e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.039742050220846892e+01,2.192231870391748316e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.132200755035620077e+01,2.077886258219102800e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.221151895488360140e+01,1.963258134461877802e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.304566084160554595e+01,1.847782498835574572e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.382860171790036929e+01,1.731338096007625538e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.456475847191190809e+01,1.613808176245645143e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.525854799178402388e+01,1.495075989817246587e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.591438716566056399e+01,1.375024786990044667e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.653669288168534734e+01,1.253537818031651874e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.712988202800224258e+01,1.130498333209685136e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.769837149275509347e+01,1.005789582791759074e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.824657816408773670e+01,8.792948170454817358e+00,1.500000000000000000e+00,1.500000000000000000e+00
2.877891893014403024e+01,7.508972862384748481e+00,1.500000000000000000e+00,1.500000000000000000e+00
2.929981067906780723e+01,6.204802406383469027e+00,1.500000000000000000e+00,1.500000000000000000e+00
2.981367029900293275e+01,4.879269305127144740e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.032491467809322572e+01,3.531206061291901843e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.083796070448255477e+01,2.159445177553906081e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.135722526631475660e+01,7.628191565892877835e-01,1.500000000000000000e+00,1.500000000000000000e+00
3.188712525173367496e+01,-6.598394989258165033e-01,1.500000000000000000e+00,1.500000000000000000e+00
3.243207754888315009e+01,-2.109698286315271787e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.299544009882598061e+01,-3.587412755683323962e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.356273381937762679e+01,-5.085015160823481928e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.410465271065427117e+01,-6.587369692623023631e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.459144030135591663e+01,-8.079122761880769943e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.499334012018253048e+01,-9.544920779395523525e+00,1.500000000000000000e+00,1.500000000000000000e+00
3.528059569583411559e+01,-1.096941015596607549e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.542345055701066059e+01,-1.233723730239121608e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.539214823241214702e+01,-1.363304862946972662e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.515693225073856354e+01,-1.484149054800043466e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.468899985411547249e+01,-1.594764359462869052e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.398700432522684878e+01,-1.694908616597615492e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.308052488607281560e+01,-1.785747400016581210e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.200079153445475555e+01,-1.868521426066793367e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.077903426817398724e+01,-1.944471411095289426e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.944648308503188261e+01,-2.014838071449100809e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.803436798282979936e+01,-2.080862123475266756e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.657391895936906678e+01,-2.143784283520816913e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.509636601245106746e+01,-2.204845267932785546e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.363293913987715200e+01,-2.265285793058206210e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.221129160265130054e+01,-2.326365679209997950e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.084441565068584623e+01,-2.389423053680739173e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.954154758554770055e+01,-2.455816104928570809e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.831192370682058268e+01,-2.526903021422223716e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.716478031408812299e+01,-2.604041991630429109e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.610935370693403712e+01,-2.688591204021919623e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.515488018494199451e+01,-2.781908847065426116e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.430751605906151447e+01,-2.884998993659645805e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.355854256079673803e+01,-2.997155484016474958e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.289475618882395480e+01,-3.117156535106816051e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.230295252078854595e+01,-3.243780258007870287e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.176992713433590332e+01,-3.375804763796839580e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.128247560711139386e+01,-3.512008163550927264e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.082739351676038275e+01,-3.651168568347332410e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.039147644092826006e+01,-3.792064089263262616e+01,1.500000000000000000e+00,1.500000000000000000e+00
9.961519957260410507e+00,-3.933472837375913400e+01,1.500000000000000000e+00,1.500000000000000000e+00
