# x,y,right_width,left_width
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,4.583333333333333037e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,9.166666666666666075e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,1.375000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,1.833333333333333215e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,2.291666666666666430e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,2.750000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.004809471616709970e+00,3.125000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.749999999999999112e+00,3.399519052838329003e+01,1.500000000000000000e+00,1.500000000000000000e+00
-7.499999999999999112e+00,3.500000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.124999999999999822e+01,3.399519052838329003e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.399519052838328825e+01,3.125000000000000355e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,2.750000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,2.250000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,1.750000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,1.250000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,7.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,2.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,-2.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,-7.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,-1.249999999999999822e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.399519052838329003e+01,-1.624999999999999645e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.125000000000000355e+01,-1.899519052838329003e+01,1.500000000000000000e+00,1.500000000000000000e+00
-7.500000000000001776e+00,-2.000000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.750000000000004885e+00,-1.899519052838329358e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.004809471616711747e+00,-1.625000000000000355e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,-1.250000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,-8.333333333333332149e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,-4.166666666666666075e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
