# x,y,right_width,left_width
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.004809471616709970e+00,3.375000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.749999999999999112e+00,3.649519052838329003e+01,1.500000000000000000e+00,1.500000000000000000e+00
-7.499999999999999112e+00,3.750000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.124999999999999822e+01,3.649519052838329003e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.399519052838328825e+01,3.375000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,3.000000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,2.571428571428571530e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,2.142857142857143060e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,1.714285714285714235e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,1.285714285714285765e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,8.571428571428572951e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,4.285714285714284699e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.500000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
