# x,y,right_width,left_width
3.513214787602336742e+01,-5.607257675793299256e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.433486394581120749e+01,-5.749995477745644479e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.377318377165224206e+01,-5.906837010296617763e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.332456220150984905e+01,-6.068931292651181053e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.286645408334749163e+01,-6.227427344014292032e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.227631426512856194e+01,-6.373474183590909092e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.143159759481653737e+01,-6.498220830585989916e+01,1.500000000000000000e+00,1.500000000000000000e+00
3.021924974168247502e+01,-6.593657552874431360e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.872116669744795558e+01,-6.668564552944408774e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.704845870659146101e+01,-6.730853442557236122e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.523788400642615670e+01,-6.780357426177698699e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.332587269580273670e+01,-6.816874833581181292e+01,1.500000000000000000e+00,1.500000000000000000e+00
2.134885487357193767e+01,-6.840203994543068688e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.934326063858449629e+01,-6.850143238838745674e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.734552008969113501e+01,-6.846490896243595614e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.539206332574260472e+01,-6.829045296533004716e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.351932044558959944e+01,-6.797604769482360609e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.176372154808287007e+01,-6.751967644867043816e+01,1.500000000000000000e+00,1.500000000000000000e+00
1.016169673207315327e+01,-6.691932252462441966e+01,1.500000000000000000e+00,1.500000000000000000e+00
8.749676096411157289e+00,-6.617296922043937002e+01,1.500000000000000000e+00,1.500000000000000000e+00
