cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,31.413275789123926,-54.907848559070146,0.0,0.0,0.0,0.0,0,1
blue,28.504135731579577,-54.37847309413138,0.0,0.0,0.0,0.0,0,1
blue,25.581555457700766,-54.974089605232756,0.0,0.0,0.0,0.0,0,1
blue,22.80299504551639,-56.0828333651846,0.0,0.0,0.0,0.0,0,1
blue,20.123077892311073,-57.4179612547067,0.0,0.0,0.0,0.0,0,1
blue,17.49632558012241,-58.85585255464471,0.0,0.0,0.0,0.0,0,1
blue,14.87096873408429,-60.29629878691305,0.0,0.0,0.0,0.0,0,1
blue,12.196476022503365,-61.64233321016742,0.0,0.0,0.0,0.0,0,1
blue,9.429969325201533,-62.7824064456973,0.0,0.0,0.0,0.0,0,1
blue,6.525530415360206,-63.491186269991246,0.0,0.0,0.0,0.0,0,1
blue,3.553460510439281,-63.32293335172433,0.0,0.0,0.0,0.0,0,1
blue,0.911402176770687,-61.985793209200125,0.0,0.0,0.0,0.0,0,1
blue,-1.0834583002436389,-59.775669730477695,0.0,0.0,0.0,0.0,0,1
blue,-2.4331645528346537,-57.10934693538285,0.0,0.0,0.0,0.0,0,1
blue,-3.262088516370758,-54.23734251542904,0.0,0.0,0.0,0.0,0,1
blue,-3.6585157374960766,-51.272541525476996,0.0,0.0,0.0,0.0,0,1
blue,-3.6384953245208793,-48.28182778364906,0.0,0.0,0.0,0.0,0,1
blue,-3.1856481869439226,-45.32554015265879,0.0,0.0,0.0,0.0,0,1
blue,-2.331220336271778,-42.459218994576055,0.0,0.0,0.0,0.0,0,1
blue,-1.0969861770217664,-39.73218578448198,0.0,0.0,0.0,0.0,0,1
blue,0.3013214792684464,-37.08442877891607,0.0,0.0,0.0,0.0,0,1
blue,1.6852661783243736,-34.42941694779132,0.0,0.0,0.0,0.0,0,1
blue,2.672353339817051,-31.614071786172378,0.0,0.0,0.0,0.0,0,1
blue,1.8375745051408332,-28.85361871142516,0.0,0.0,0.0,0.0,0,1
blue,-0.3766796218385637,-26.840315888846533,0.0,0.0,0.0,0.0,0,1
blue,-2.5524858820278826,-24.78817268744327,0.0,0.0,0.0,0.0,0,1
blue,-4.154863901834182,-22.283914551077316,0.0,0.0,0.0,0.0,0,1
blue,-4.392971518196417,-19.32125308155769,0.0,0.0,0.0,0.0,0,1
blue,-3.797131936869645,-16.393368307538218,0.0,0.0,0.0,0.0,0,1
blue,-2.966298746589973,-13.51637104024752,0.0,0.0,0.0,0.0,0,1
blue,-2.3287078053372703,-10.591749245468105,0.0,0.0,0.0,0.0,0,1
blue,-1.8989159936798883,-7.62898152302314,0.0,0.0,0.0,0.0,0,1
blue,-1.6524555397010672,-4.644920559077194,0.0,0.0,0.0,0.0,0,1
blue,-1.5274633110432854,-1.6532391448118493,0.0,0.0,0.0,0.0,0,1
blue,-1.500000000000001,1.3411166137074606,0.0,0.0,0.0,0.0,0,1
blue,-1.530743683235127,4.335488638886574,0.0,0.0,0.0,0.0,0,1
blue,-1.5926306324408939,7.3294282439527185,0.0,0.0,0.0,0.0,0,1
blue,-1.6500853707343035,10.323445443447483,0.0,0.0,0.0,0.0,0,1
blue,-1.6677650164428321,13.317917127579276,0.0,0.0,0.0,0.0,0,1
blue,-1.583197198303244,16.311029741033263,0.0,0.0,0.0,0.0,0,1
blue,-1.3231698080767424,19.293168486900047,0.0,0.0,0.0,0.0,0,1
blue,-0.7544199784583053,22.22983748762875,0.0,0.0,0.0,0.0,0,1
blue,0.34045030745222304,25.007469665254888,0.0,0.0,0.0,0.0,0,1
blue,2.216844436226078,27.31838062684423,0.0,0.0,0.0,0.0,0,1
blue,4.8657260606991155,28.671479146114272,0.0,0.0,0.0,0.0,0,1
blue,7.822245073871784,29.075519783741782,0.0,0.0,0.0,0.0,0,1
blue,10.802953685538668,28.84125614103258,0.0,0.0,0.0,0.0,0,1
blue,13.72585863368144,28.197856556800463,0.0,0.0,0.0,0.0,0,1
blue,16.56685214872429,27.254014574544527,0.0,0.0,0.0,0.0,0,1
blue,19.330895536461934,26.104426399290297,0.0,0.0,0.0,0.0,0,1
blue,22.017523790788346,24.782971435992444,0.0,0.0,0.0,0.0,0,1
blue,24.623925337297372,23.30971106065463,0.0,0.0,0.0,0.0,0,1
blue,27.15065560418698,21.703348324888566,0.0,0.0,0.0,0.0,0,1
blue,29.5909641931759,19.96872183689459,0.0,0.0,0.0,0.0,0,1
blue,31.93335397141804,18.10387756742326,0.0,0.0,0.0,0.0,0,1
blue,34.16829132653336,16.111874021027166,0.0,0.0,0.0,0.0,0,1
blue,36.26373950710115,13.973648455767295,0.0,0.0,0.0,0.0,0,1
blue,38.2069999241277,11.69629345379978,0.0,0.0,0.0,0.0,0,1
blue,40.11398039953857,9.388184923876741,0.0,0.0,0.0,0.0,0,1
blue,42.38865008635718,7.468014793262186,0.0,0.0,0.0,0.0,0,1
blue,45.223837597502545,6.573661119703871,0.0,0.0,0.0,0.0,0,1
blue,48.210515401269674,6.436737542197524,0.0,0.0,0.0,0.0,0,1
blue,51.199072420575426,6.6147568824467715,0.0,0.0,0.0,0.0,0,1
blue,54.18327364575528,6.863376963794109,0.0,0.0,0.0,0.0,0,1
blue,57.17371952338253,7.009925323068776,0.0,0.0,0.0,0.0,0,1
blue,60.16144485290304,6.8618282652061975,0.0,0.0,0.0,0.0,0,1
blue,63.08730868850826,6.253483222976952,0.0,0.0,0.0,0.0,0,1
blue,65.77363703106326,4.950188115449471,0.0,0.0,0.0,0.0,0,1
blue,68.18378033515232,3.1775926015370173,0.0,0.0,0.0,0.0,0,1
blue,70.59852652779256,1.4132620207020408,0.0,0.0,0.0,0.0,0,1
blue,73.3968528328715,0.4343706378861129,0.0,0.0,0.0,0.0,0,1
blue,76.37848673456256,0.492838413144581,0.0,0.0,0.0,0.0,0,1
blue,79.30607704993767,1.1065497053622166,0.0,0.0,0.0,0.0,0,1
blue,82.17169165377726,1.973845030302978,0.0,0.0,0.0,0.0,0,1
blue,85.00662360148795,2.938549931901503,0.0,0.0,0.0,0.0,0,1
blue,87.85698446483232,3.855428942059585,0.0,0.0,0.0,0.0,0,1
blue,90.76242310539912,4.574050028055372,0.0,0.0,0.0,0.0,0,1
blue,93.74424186594159,4.768042140025324,0.0,0.0,0.0,0.0,0,1
blue,96.59527621629267,3.9400651151449924,0.0,0.0,0.0,0.0,0,1
blue,98.8260118735932,1.9836870246476548,0.0,0.0,0.0,0.0,0,1
blue,100.29344897122566,-0.6109824052579879,0.0,0.0,0.0,0.0,0,1
blue,101.18754198718912,-3.4637801157593,0.0,0.0,0.0,0.0,0,1
blue,101.66220519882211,-6.418640307184468,0.0,0.0,0.0,0.0,0,1
blue,101.85125801362406,-9.405681998833945,0.0,0.0,0.0,0.0,0,1
blue,101.80363478561381,-12.399029156361419,0.0,0.0,0.0,0.0,0,1
blue,101.56827692487276,-15.38360818916877,0.0,0.0,0.0,0.0,0,1
blue,101.13346719086518,-18.345836069070106,0.0,0.0,0.0,0.0,0,1
blue,100.5315114173198,-21.27862208999796,0.0,0.0,0.0,0.0,0,1
blue,99.71215663801998,-24.15788798229407,0.0,0.0,0.0,0.0,0,1
blue,98.67453295630895,-26.965649764865844,0.0,0.0,0.0,0.0,0,1
blue,97.3377667481908,-29.643720475348324,0.0,0.0,0.0,0.0,0,1
blue,95.72883352973494,-32.16684168536561,0.0,0.0,0.0,0.0,0,1
blue,93.88989761525028,-34.52852005998369,0.0,0.0,0.0,0.0,0,1
blue,91.87355085854476,-36.74155967694963,0.0,0.0,0.0,0.0,0,1
blue,89.663731854378,-38.76064755860035,0.0,0.0,0.0,0.0,0,1
blue,87.2591863627222,-40.5405705284216,0.0,0.0,0.0,0.0,0,1
blue,84.64376311485775,-41.993068883051606,0.0,0.0,0.0,0.0,0,1
blue,81.80861640206676,-42.9410825629426,0.0,0.0,0.0,0.0,0,1
blue,78.85245352268133,-43.39658349452563,0.0,0.0,0.0,0.0,0,1
blue,75.8916908042503,-43.82251833894398,0.0,0.0,0.0,0.0,0,1
blue,73.36734111587924,-45.26367094056738,0.0,0.0,0.0,0.0,0,1
blue,71.9578070906277,-47.89742046177963,0.0,0.0,0.0,0.0,0,1
blue,70.32883124036667,-50.405911896504634,0.0,0.0,0.0,0.0,0,1
blue,68.38858073652062,-52.68427384649936,0.0,0.0,0.0,0.0,0,1
blue,66.21671288811567,-54.74273592571267,0.0,0.0,0.0,0.0,0,1
blue,63.851434743518176,-56.57697047384045,0.0,0.0,0.0,0.0,0,1
blue,61.331141092902996,-58.19116464633938,0.0,0.0,0.0,0.0,0,1
blue,58.67468437109821,-59.57065614034157,0.0,0.0,0.0,0.0,0,1
blue,55.909271341154174,-60.715191620678304,0.0,0.0,0.0,0.0,0,1
blue,53.044933249313424,-61.58348700264524,0.0,0.0,0.0,0.0,0,1
blue,50.10966966302738,-62.16449442671571,0.0,0.0,0.0,0.0,0,1
blue,47.126037952693615,-62.39166818717879,0.0,0.0,0.0,0.0,0,1
blue,44.1408195624585,-62.218825503650685,0.0,0.0,0.0,0.0,0,1
blue,41.215838135113906,-61.594974532699084,0.0,0.0,0.0,0.0,0,1
blue,38.46710767355945,-60.42184179428878,0.0,0.0,0.0,0.0,0,1
blue,35.98660191356871,-58.75632067873472,0.0,0.0,0.0,0.0,0,1
blue,33.77292522206558,-56.74018230731323,0.0,0.0,0.0,0.0,0,1
yellow,32.922688732052386,-52.309993330266636,0.0,0.0,0.0,0.0,1,0
yellow,30.08665160434301,-51.43966255482061,0.0,0.0,0.0,0.0,1,0
yellow,27.11634899042771,-51.50781374068066,0.0,0.0,0.0,0.0,1,0
yellow,24.22857448957933,-52.25331433340899,0.0,0.0,0.0,0.0,1,0
yellow,21.470381359782415,-53.39426726822211,0.0,0.0,0.0,0.0,1,0
yellow,18.797658465283366,-54.72604133444317,0.0,0.0,0.0,0.0,1,0
yellow,16.176424463238924,-56.15741444568143,0.0,0.0,0.0,0.0,1,0
yellow,13.558983841472477,-57.595788308132704,0.0,0.0,0.0,0.0,1,0
yellow,10.892695372471843,-58.9403772705049,0.0,0.0,0.0,0.0,1,0
yellow,8.1224910017595,-60.04738829292624,0.0,0.0,0.0,0.0,1,0
yellow,5.193934550950522,-60.53961155683,0.0,0.0,0.0,0.0,1,0
yellow,2.506233649749399,-59.41665416304776,0.0,0.0,0.0,0.0,1,0
yellow,0.7828644267840481,-57.001856621396755,0.0,0.0,0.0,0.0,1,0
yellow,-0.2156466362114591,-54.192228012814695,0.0,0.0,0.0,0.0,1,0
yellow,-0.6497316648511144,-51.241043401945404,0.0,0.0,0.0,0.0,1,0
yellow,-0.6183467335199035,-48.26012796923119,0.0,0.0,0.0,0.0,1,0
yellow,-0.1144556293269014,-45.32041153699077,0.0,0.0,0.0,0.0,1,0
yellow,0.9086688962914993,-42.51833719015243,0.0,0.0,0.0,0.0,1,0
yellow,2.22102536707816,-39.8368139158699,0.0,0.0,0.0,0.0,1,0
yellow,3.6416737268494774,-37.209700962763264,0.0,0.0,0.0,0.0,1,0
yellow,4.922747889505619,-34.5144201740859,0.0,0.0,0.0,0.0,1,0
yellow,5.702964962774902,-31.643362622089647,0.0,0.0,0.0,0.0,1,0
yellow,5.276595306097659,-28.71748668571336,0.0,0.0,0.0,0.0,1,0
yellow,3.5379602256104725,-26.320169452604773,0.0,0.0,0.0,0.0,1,0
yellow,1.3105858640911783,-24.332689051102232,0.0,0.0,0.0,0.0,1,0
yellow,-0.7966402686110541,-22.227770977813712,0.0,0.0,0.0,0.0,1,0
yellow,-1.389030479522155,-19.38682808236151,0.0,0.0,0.0,0.0,1,0
yellow,-0.6981705029625322,-16.486458805792132,0.0,0.0,0.0,0.0,1,0
yellow,0.102609160398154,-13.60972257812805,0.0,0.0,0.0,0.0,1,0
