# x,y,right_width,left_width
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.806023374435660855e-01,1.691341716182544985e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.464466094067262247e+00,1.853553390593273775e+01,1.500000000000000000e+00,1.500000000000000000e+00
-3.086582838174551036e+00,1.961939766255643391e+01,1.500000000000000000e+00,1.500000000000000000e+00
-5.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-6.913417161825448076e+00,1.961939766255643391e+01,1.500000000000000000e+00,1.500000000000000000e+00
-8.535533905932737753e+00,1.853553390593273775e+01,1.500000000000000000e+00,1.500000000000000000e+00
-9.619397662556433914e+00,1.691341716182544985e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.000000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.000000000000000000e+01,1.200000000000000000e+01,1.500000000000000000e+00,1.500000000000000000e+00
-1.000000000000000000e+01,9.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.000000000000000000e+01,6.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.000000000000000000e+01,3.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.000000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
